# Chi2 Rg SupportVolume
1.26990e+03 7.15822e+01 2.70000e+07
1.26844e+03 7.15425e+01 2.70000e+07
1.26698e+03 7.15032e+01 2.70000e+07
1.26552e+03 7.14642e+01 2.70000e+07
1.26406e+03 7.14251e+01 2.70000e+07
1.26260e+03 7.13859e+01 2.70000e+07
1.26115e+03 7.13468e+01 2.70000e+07
1.25970e+03 7.13080e+01 2.70000e+07
1.25825e+03 7.12692e+01 2.70000e+07
1.25680e+03 7.12309e+01 2.70000e+07
1.25536e+03 7.11928e+01 2.70000e+07
1.25391e+03 7.11549e+01 2.70000e+07
1.25247e+03 7.11172e+01 2.70000e+07
1.25102e+03 7.10798e+01 2.70000e+07
1.24959e+03 7.10422e+01 2.70000e+07
1.24816e+03 7.10051e+01 2.70000e+07
1.24673e+03 7.09681e+01 2.70000e+07
1.24531e+03 7.09311e+01 2.70000e+07
1.24389e+03 7.08944e+01 2.70000e+07
1.24247e+03 7.08579e+01 2.70000e+07
1.24105e+03 7.08214e+01 2.70000e+07
1.23963e+03 7.07849e+01 2.70000e+07
1.23822e+03 7.07485e+01 2.70000e+07
1.23681e+03 7.07118e+01 2.70000e+07
1.23540e+03 7.06750e+01 2.70000e+07
1.23399e+03 7.06383e+01 2.70000e+07
1.23259e+03 7.06020e+01 2.70000e+07
1.23119e+03 7.05657e+01 2.70000e+07
1.22980e+03 7.05295e+01 2.70000e+07
1.22840e+03 7.04936e+01 2.70000e+07
1.22700e+03 7.04577e+01 2.70000e+07
1.22560e+03 7.04218e+01 2.70000e+07
1.22420e+03 7.03860e+01 2.70000e+07
1.22281e+03 7.03502e+01 2.70000e+07
1.22142e+03 7.03144e+01 2.70000e+07
1.22003e+03 7.02786e+01 2.70000e+07
1.21863e+03 7.02430e+01 2.70000e+07
1.21724e+03 7.02078e+01 2.70000e+07
1.21585e+03 7.01729e+01 2.70000e+07
1.21447e+03 7.01381e+01 2.70000e+07
1.21309e+03 7.01032e+01 2.70000e+07
1.21171e+03 7.00683e+01 2.70000e+07
1.21034e+03 7.00338e+01 2.70000e+07
1.20896e+03 6.99991e+01 2.70000e+07
1.20759e+03 6.99643e+01 2.70000e+07
1.20622e+03 6.99294e+01 2.70000e+07
1.20484e+03 6.98945e+01 2.70000e+07
1.20347e+03 6.98597e+01 2.70000e+07
1.20210e+03 6.98249e+01 2.70000e+07
1.20073e+03 6.97907e+01 2.70000e+07
1.19937e+03 6.97566e+01 2.70000e+07
1.19801e+03 6.97226e+01 2.70000e+07
1.19666e+03 6.96885e+01 2.70000e+07
1.19530e+03 6.96546e+01 2.70000e+07
1.19395e+03 6.96207e+01 2.70000e+07
1.19260e+03 6.95870e+01 2.70000e+07
1.19125e+03 6.95533e+01 2.70000e+07
1.18991e+03 6.95202e+01 2.70000e+07
1.18856e+03 6.94871e+01 2.70000e+07
1.18723e+03 6.94544e+01 2.70000e+07
1.18590e+03 6.94218e+01 2.70000e+07
1.18456e+03 6.93893e+01 2.70000e+07
1.18324e+03 6.93571e+01 2.70000e+07
1.18191e+03 6.93249e+01 2.70000e+07
1.18058e+03 6.92928e+01 2.70000e+07
1.17925e+03 6.92607e+01 2.70000e+07
1.17793e+03 6.92288e+01 2.70000e+07
