# Chi2 Rg SupportVolume
4.67672e+02 6.40943e+01 3.37500e+06
4.66004e+02 6.41033e+01 3.37500e+06
4.64346e+02 6.41123e+01 3.37500e+06
4.62703e+02 6.41213e+01 3.37500e+06
4.61073e+02 6.41302e+01 3.37500e+06
4.59451e+02 6.41391e+01 3.37500e+06
4.57838e+02 6.41480e+01 3.37500e+06
4.56237e+02 6.41570e+01 3.37500e+06
4.54649e+02 6.41658e+01 3.37500e+06
4.53083e+02 6.41745e+01 3.37500e+06
4.51530e+02 6.41831e+01 3.37500e+06
4.49986e+02 6.41918e+01 3.37500e+06
4.48449e+02 6.42006e+01 3.37500e+06
4.46916e+02 6.42095e+01 3.37500e+06
4.45394e+02 6.42186e+01 3.37500e+06
4.43883e+02 6.42276e+01 3.37500e+06
4.42385e+02 6.42365e+01 3.37500e+06
4.40903e+02 6.42453e+01 3.37500e+06
4.39437e+02 6.42540e+01 3.37500e+06
4.37978e+02 6.42625e+01 3.37500e+06
4.36529e+02 6.42709e+01 3.37500e+06
4.35094e+02 6.42794e+01 3.37500e+06
4.33674e+02 6.42877e+01 3.37500e+06
4.32272e+02 6.42960e+01 3.37500e+06
4.30881e+02 6.43045e+01 3.37500e+06
4.29499e+02 6.43132e+01 3.37500e+06
4.28128e+02 6.43221e+01 3.37500e+06
4.26766e+02 6.43312e+01 3.37500e+06
4.25411e+02 6.43401e+01 3.37500e+06
4.24062e+02 6.43488e+01 3.37500e+06
4.22723e+02 6.43576e+01 3.37500e+06
4.21393e+02 6.43661e+01 3.37500e+06
4.20074e+02 6.43743e+01 3.37500e+06
4.18763e+02 6.43823e+01 3.37500e+06
4.17458e+02 6.43902e+01 3.37500e+06
4.16162e+02 6.43980e+01 3.37500e+06
4.14877e+02 6.44059e+01 3.37500e+06
4.13604e+02 6.44139e+01 3.37500e+06
4.12344e+02 6.44218e+01 3.37500e+06
4.11092e+02 6.44294e+01 3.37500e+06
4.09848e+02 6.44367e+01 3.37500e+06
4.08617e+02 6.44439e+01 3.37500e+06
4.07393e+02 6.44511e+01 3.37500e+06
4.06184e+02 6.44581e+01 3.37500e+06
4.04987e+02 6.44648e+01 3.37500e+06
4.03794e+02 6.44712e+01 3.37500e+06
4.02612e+02 6.44775e+01 3.37500e+06
4.01436e+02 6.44836e+01 3.37500e+06
4.00268e+02 6.44895e+01 3.37500e+06
3.99105e+02 6.44953e+01 3.37500e+06
3.97950e+02 6.45009e+01 3.37500e+06
3.96799e+02 6.45066e+01 3.37500e+06
3.95655e+02 6.45121e+01 3.37500e+06
3.94518e+02 6.45177e+01 3.37500e+06
3.93389e+02 6.45233e+01 3.37500e+06
3.92266e+02 6.45286e+01 3.37500e+06
3.91149e+02 6.45340e+01 3.37500e+06
3.90039e+02 6.45392e+01 3.37500e+06
3.88936e+02 6.45442e+01 3.37500e+06
3.87839e+02 6.45495e+01 3.37500e+06
3.86747e+02 6.45545e+01 3.37500e+06
3.85664e+02 6.45597e+01 3.37500e+06
3.84589e+02 6.45648e+01 3.37500e+06
3.83517e+02 6.45698e+01 3.37500e+06
3.82453e+02 6.45746e+01 3.37500e+06
3.81393e+02 6.45793e+01 3.37500e+06
3.80343e+02 6.45842e+01 3.37500e+06
3.79301e+02 6.45891e+01 3.37500e+06
3.78267e+02 6.45941e+01 3.37500e+06
3.77243e+02 6.45988e+01 3.37500e+06
3.76224e+02 6.46034e+01 3.37500e+06
3.75211e+02 6.46081e+01 3.37500e+06
3.74209e+02 6.46126e+01 3.37500e+06
3.73211e+02 6.46171e+01 3.37500e+06
3.72216e+02 6.46215e+01 3.37500e+06
3.71225e+02 6.46258e+01 3.37500e+06
3.70246e+02 6.46300e+01 3.37500e+06
3.69272e+02 6.46345e+01 3.37500e+06
3.68305e+02 6.46388e+01 3.37500e+06
3.67347e+02 6.46429e+01 3.37500e+06
3.66394e+02 6.46468e+01 3.37500e+06
3.65445e+02 6.46505e+01 3.37500e+06
3.64499e+02 6.46541e+01 3.37500e+06
3.63562e+02 6.46577e+01 3.37500e+06
3.62633e+02 6.46611e+01 3.37500e+06
3.61708e+02 6.46646e+01 3.37500e+06
3.60789e+02 6.46681e+01 3.37500e+06
3.59872e+02 6.46715e+01 3.37500e+06
3.58959e+02 6.46748e+01 3.37500e+06
3.58055e+02 6.46781e+01 3.37500e+06
3.57157e+02 6.46816e+01 3.37500e+06
3.56261e+02 6.46851e+01 3.37500e+06
3.55371e+02 6.46885e+01 3.37500e+06
3.54490e+02 6.46919e+01 3.37500e+06
3.53619e+02 6.46952e+01 3.37500e+06
3.52755e+02 6.46982e+01 3.37500e+06
3.51899e+02 6.47011e+01 3.37500e+06
3.51047e+02 6.47040e+01 3.37500e+06
3.50197e+02 6.47067e+01 3.37500e+06
3.49350e+02 6.47094e+01 3.37500e+06
3.48509e+02 6.47122e+01 3.37500e+06
3.47670e+02 6.47149e+01 3.37500e+06
3.46831e+02 6.47177e+01 3.37500e+06
3.45993e+02 6.47204e+01 3.37500e+06
3.45155e+02 6.47230e+01 3.37500e+06
3.44321e+02 6.47259e+01 3.37500e+06
3.43490e+02 6.47287e+01 3.37500e+06
3.42665e+02 6.47315e+01 3.37500e+06
3.41845e+02 6.47343e+01 3.37500e+06
3.41030e+02 6.47370e+01 3.37500e+06
3.40220e+02 6.47399e+01 3.37500e+06
3.39413e+02 6.47427e+01 3.37500e+06
3.38610e+02 6.47454e+01 3.37500e+06
3.37811e+02 6.47482e+01 3.37500e+06
3.37020e+02 6.47508e+01 3.37500e+06
3.36235e+02 6.47532e+01 3.37500e+06
3.35456e+02 6.47555e+01 3.37500e+06
3.34689e+02 6.47575e+01 3.37500e+06
3.33926e+02 6.47593e+01 3.37500e+06
3.33164e+02 6.47611e+01 3.37500e+06
3.32404e+02 6.47627e+01 3.37500e+06
3.31645e+02 6.47644e+01 3.37500e+06
3.30887e+02 6.47659e+01 3.37500e+06
3.30132e+02 6.47676e+01 3.37500e+06
3.29381e+02 6.47692e+01 3.37500e+06
3.28630e+02 6.47708e+01 3.37500e+06
3.27887e+02 6.47723e+01 3.37500e+06
3.27150e+02 6.47738e+01 3.37500e+06
3.26415e+02 6.47752e+01 3.37500e+06
3.25684e+02 6.47766e+01 3.37500e+06
3.24955e+02 6.47779e+01 3.37500e+06
3.24227e+02 6.47791e+01 3.37500e+06
3.23502e+02 6.47803e+01 3.37500e+06
3.22777e+02 6.47815e+01 3.37500e+06
3.22054e+02 6.47826e+01 3.37500e+06
3.21336e+02 6.47838e+01 3.37500e+06
3.20619e+02 6.47850e+01 3.37500e+06
3.19902e+02 6.47861e+01 3.37500e+06
3.19188e+02 6.47872e+01 3.37500e+06
3.18476e+02 6.47884e+01 3.37500e+06
3.17766e+02 6.47895e+01 3.37500e+06
3.17057e+02 6.47905e+01 3.37500e+06
3.16353e+02 6.47914e+01 3.37500e+06
3.15653e+02 6.47924e+01 3.37500e+06
3.14955e+02 6.47934e+01 3.37500e+06
3.14259e+02 6.47944e+01 3.37500e+06
3.13566e+02 6.47954e+01 3.37500e+06
3.12877e+02 6.47964e+01 3.37500e+06
3.12194e+02 6.47976e+01 3.37500e+06
3.11514e+02 6.47988e+01 3.37500e+06
3.10837e+02 6.47999e+01 3.37500e+06
3.10163e+02 6.48009e+01 3.37500e+06
3.09491e+02 6.48019e+01 3.37500e+06
3.08823e+02 6.48027e+01 3.37500e+06
3.08159e+02 6.48035e+01 3.37500e+06
3.07499e+02 6.48043e+01 3.37500e+06
3.06840e+02 6.48051e+01 3.37500e+06
3.06182e+02 6.48058e+01 3.37500e+06
3.05526e+02 6.48065e+01 3.37500e+06
3.04872e+02 6.48070e+01 3.37500e+06
3.04226e+02 6.48075e+01 3.37500e+06
3.03587e+02 6.48080e+01 3.37500e+06
3.02953e+02 6.48087e+01 3.37500e+06
3.02324e+02 6.48094e+01 3.37500e+06
